ID;Nome;Ingredientes
6953;French Vanilla Ice Cream;["gema de ovo","leite","açúcar","sal","creme pesado","baunilha"]
6954;Sour Cream Pound Cake;["manteiga","açúcar","ovos","total","bicarbonato de sódio","creme azedo"]
6955;Marinated Mushrooms;["cogumelos frescos","cebola","molho de vinho"]
6956;Chocolate Chip Brownies;["açúcar mascavo","açúcar","farinha","baunilha","ovos","manteiga","Chips Chocolate"]
6957;Quick Nut Fudge;["açúcar","cacau","sal","margarina","leite","baunilha","nozes"]
6958;Cabbage Casserole;["Repolho","flocos de milho","Margarina","creme de sopa de aipo","Leite","mayonnaise","queijo cheddar"]
6959;Pound Cake;["manteiga","crisco","açúcar","ovos","farinha","leite","sal","aromatizante","limão aromatizante"]
6960;No Bake Peanut Candy;["açúcar branco","xarope branco","manteiga de amendoim","arroz crispies cereais"]
6961;Microwave Mississippi Mud Cake;["manteiga","cacau","ovos","açúcar","farinha","marshmallows"]
6962;Candy Quick Candy;["cereal","pecans","chocolate branco"]
6963;Salmon Pie-Theresa Shea;["salm�o vermelho","cebola","batatas","manteiga","sal","massa de torta de crosta"]
6964;Jiffy Salmon Patties;["Salm�o","Cebola verde","salsa","migalhas de pão","ovos","mostarda","suco de limão","óleo de cozimento"]
6965;7-Up Cobbler Cake;["Cherry Torta enchimento","bolo amarelo"]
6966;Vegetable Cheese Bake;["vegetais congelados","sopa de cogumelo","cebola"]
6967;Hot Punch Cider;["cidra","canela","Alian�a","suco de limão","açúcar","água"]
6968;Amish Bread;["Farinha","açúcar","nozes","ovos","vanilla pudding","canela","fermento","bicarbonato de sódio","sal","vanilla","noz-moscado"]
6969;Sweet Potato Casserole;["Oleo","Leite","ovos","açúcar","Salt","pur� de batatas doces","abacaxi","farinha","Ovo","Ovo"]
6970;Yeast Rolls;["leite quente","cozinhar óleo","água morna","açúcar","farinha","levedura","ovo"]
6971;Feta-Roma Casserole;["Tomates","pesto","cebolas verdes","croutons","queijo feta","azeite"]
6972;Gelatin Squares(Kanten);["suco de laranja","gelatina","água fria","limão jello","açúcar","água"]
6973;Olive Balls;["Queijo Cheddar","Manteiga","Molho de Worcestershire","Bisquick Baking Mix","pimiento"]
6974;Chicken Tuna Salad For 100;["galinhas","concha macarrão","atum","açúcar","aipo","curativo franc�s","ovos","salada curativo","ervilhas congeladas","cebola"]
6975;Jalapeno Pie;["ovos","queijo cheddar","pimentas jalapeno","leite"]
6976;Apple Hill Cake;["açúcar","óleo","ovos","maçãs","farinha","sal","canela","noz-moscada","bicarbonato de sódio"]
6977;Denise Walker'S Wedding Punch(Frozen Banana Punch);["bananas","água","açúcar","suco de abacaxi","suco de laranja"]
6978;Cheese Crispies;["Margarina","Farinha","Rice Krispies","Queijo Cheddar","açúcar","sal"]
6979;Taco Salad;["carne moída","Mistura de molho de taco","queijo processado","ro-tel tomates","Alface de cabe�a","tomates","cebola","chips"]
6980;Barbecue Beef Sandwiches;["carne moída","cebola","pimenta verde","Aipo","molho de tomate","gato","vinagre","açúcar mascavado","molho de worcestershire","sal","pimentão"]
6981;Pumpkin Pudding;["Leite","açúcar mascavo","casca de laranja ralado","Gengibre � terra","canela de terra","sal","ovos","abóbora"]
6982;Rhubarb Jam;["ruibarbo","açúcar"]
6983;Old-Fashioned Oatmeal Cookies;["Raisins","água","crisco s�lido","açúcar","ovos","baunilha","farinha","fermento em pó","soda","sal","cravo","cravo","Aveia rolada","nozes"]
6984;Pastries;["All-Propósito","manteiga","refrigerante","fermento","creme azedo"]
6985;Sauerbraten;["vinagre","água","açúcar","sal","pppercorns","cravo","louro folhas","limão","manteiga"]
6986;Peanut Clusters;["Curto vegetal","Chips Chocolate","manteiga de amendoim","amendoins"]
6987;Cheesecake;["Cream Cheese","açúcar","Dream Chicote","Graham Cracker Crusts","Preparou o enchimento de torta"]
6988;Jeff Davis Pie;["Torta casca","açúcar","manteiga","farinha","sal","baunilha","leite","ovos"]
6989;Swiss Steak Deluxe;["Farinha","sal","óleo","molho de tomate","água morna","worcestershire","cebola","pimenta verde","macarrão"]
6990;Mississippi Mud Cake With Mini Marshmallows;["cacau","manteiga","açúcar","farinha","baunilha","nozes","sal"]
6991;Swiss Chicken Casserole;["Frango","queijo su��o","leite","creme de sopa de galinha","erva temperada mistura de recheio","manteiga"]
6992;Hobo Dinner For Two;["carne moída","batata","cebola","cenouras","sal","flocos de salsa"]
6993;Chocolate Cheesecake;["Margarina","cracker de Graham migalhas","açúcar","Cream cheese","leite condensado","Chips de chocolate semi-doce","ovos","extrato de baunilha"]
6994;Swiss Vegetable Medley;["brócolis congelado","sopa de cogumelo","Queijo su��o","creme azedo","cebola"]
6995;Kim'S Cheesecake;["Farinha","manteiga","açúcar"]
6996;Russian Tea;["canela","água","lim�es","suco de laranja","açúcar"]
6997;Mrs. Robbins Crab Cakes;["Bolachas salgadas","mayonnaise","mostarda","Bay","Red vermelho","caranguejo de backfin de n� jumbo"]
6998;Oven Porcupines;["carne moída","arroz","cebola","sal","sal de aipo","sal de alho","molho de tomate","água","worcestershire"]
6999;Custer'S Crackling Bread;["fornema","soda","crep�sculas","sal","leite azedo"]
7000;French Bread Spread;["Mozzarella queijo","Mayo","Queijo parmesão","cebolas","cogumelos","pão"]
7001;Corn Casserole;["milho","kernel milho","açúcar","muffin de milho","manteiga","creme azedo"]
7002;Squash Relish;["Ground cebola","pimentas verdes","pimentas vermelhas","sal","açúcar","vinagre","aipo","mostarda","pimenta","tourmeric"]
7003;Sausage Rolls;["salsicha","Queijo Cheddar","mistura de biscoito"]
7004;Jelly Roll;["Farinha","fermento em pó","sal","ovos","açúcar","água","baunilha"]
7005;Pineapple Cookies;["encurtamento","açúcar mascavo","ovos","sal","baunilha","porcas","abacaxi","farinha","bicarbonato de sódio","fermento"]
7006;Zemakove Knedliky A Kysele Zeli(Potato Dumplings With Sauerkraut);["batatas","sal","fermento","ovo","chucrute","farinha"]
7007;Delicious Low Calorie Chocolate Cake;["Farinha","cacau","bicarbonato de sódio","margarina clara","açúcar","leite","vinagre branco","extrato de baunilha"]
7008;Texas Barbecue Sauce;["açúcar mascavo","cebola","molho de worcestershire","Catsup","pimentão","vinagre","água muito quente"]
7009;Rolled Stuffed Flank Steak;["steak flanco","sal","mostarda","pão","tempero de aves","cebola","aipo","encurtamento","água"]
7010;Crock Pickles;["pão","cebola","vinagre","sal","Dill","pepinos","água","a�ucar"]
7011;Turkey Loaf;["ovo branco","migalhas de pão","cebola","pimenta verde","leite","sage","raiva raiva peru","safra de frutas do abric�","catsup"]
7012;Chili;["carne moída","cebola","alho do cravo","feij�es renais","molho de tomate","pimenta","pimentão p�","cogumelos"]
7013;Frozen Fruit Treat;["açúcar","água","abacaxi","bananas","morangos congelados","mirtilos","suco de limão","laranjas"]
7014;Tamale Balls And Sauce;["carne magra","carne de porco magra","refei��o de milho","suco de tomate","farinha","alho","pimentão p�","sal"]
7015;Pork Chop And Rice Casserole;["arroz","tomates","costeletas de porco","cebola","água","sal","cogumelos"]
7016;Peanut Brittle;["açúcar","água","amendoim","refrigerante"]
7017;Million Dollar Pie;["Leite","Abacaxi","coconut  pecans","sal","baunilha","suco de limão","crosta de cracker de Graham"]
7018;Stained Glass Cookies;["oleo","Chips Chocolate","nozes","coco","marshmallows coloridos"]
7019;Bread Pudding;["pão","ovos","açúcar","canela","leite","manteiga","passas","baunilha"]
7020;Mom'S Persimmon Pudding;["Farinha","Soda","Caquis","açúcar","sal","leite"]
7021;Treasure Island Chicken;["Frango","sal","manteiga","farinha","açúcar","mostarda seca","canela","suco de laranja"]
7022;Baked Ziti Pasta;["Massa","molho de espaguete","salsicha italiana","Mozzarella queijo","queijo parmesão","queijo de ricota","ovos","Basil","oregano","salsa","pimentão","alho em p�"]
7023;Cornbread Salad;["Mistura de cornbread","pimentão","cebola","tomates","bacon","maionese","açúcar","cubos de salada em conserva"]
7024;Moist 'N Creamy Coconut Cake;["Camada","Leite","açúcar","coconut"]
7025;Basil'S Sumptuous Squirrel Casserole;["leite","creme azedo","creme condensado","biscoito mix de cozimento","milheme","leite","ovo","queijo cheddar"]
7026;Pizza Dip;["cream cheese","creme azedo","oregano","alho p�","pimenta vermelha","molho de pizza","pepperoni","cogumelos","queijo mussarela"]
7027;Basic Angel Rolls;["levedura","água morna","All-Propósito","fermento","Bicarbonato de sódio","açúcar","sal","óleo vegetal","buttermilk"]
7028;Squash Casserole;["Amarelo squash","Margarina","pimentos","creme azedo","milho recheio mistura","creme de sopa de galinha","leite"]
7029;Quick Dessert;["Abacaxi","Cherry Torta enchimento","Leite"]
7030;Chocolate Chip Cookies;["Crisco","açúcar mascavo","baunilha","ovo","farinha","refrigerante","Chips de chocolate semi-doce","pecans","sal"]
7031;Steak And Potato Casserole;["Farinha","sal","óleo","água","Cenouras","batatas","sopa de cebola","salsa"]
7032;Peanut Butter Fudge;["butterchot chips","Leite","manteiga de amendoim"]
7033;Coq Au Vin(Chicken With Wine);["ferver / assar frango","manteiga","oil","bacoo","aipo","cogumelos","alho","farinha","vinho vermelho","água","água","folha de Ba�a","Tomilho","Sal"]
7034;Santa'S Snacks;["manteiga","migalhas de cracker de Graham","Coconut","Chips de chocolate semi-doce","nozes","leite condensado"]
7035;Microwave Peanut Brittle;["amendoim","açúcar","xarope de milho branco","sal","manteiga","baunilha","bicarbonato de sódio"]
7036;Cheese Soup;["Margarina","cebola","Aipo","Cenouras","batatas","farinha","caldo de frango","Pepper"]
7037;Double-Crispy Chicken;["flocos de milho","ovo","leite","farinha","sal","pimenta","frango","margarina"]
7038;Doris' Coconut Pie(Makes Own Crust);["manteiga","açúcar","ovos","leite","farinha","coconut"]
7039;Strawberry Cake;["Bolo","baunilha","ovos","óleo de cozinha","leite","baunilha"]
7040;Strawberry Cheese Pie;["Graham Cracker Crust","Cream Cheese","Leite","suco de limão","baunilha","morangos frescos","glaze de morango"]
7041;Scripture Cake;["Naum","n�meros","Chronicles"]
7042;Peanut Brittle;["açúcar","água","amendoim","refrigerante"]
7043;Autumn Soup;["Chuck Chuck","Cebolas","água","Aipo","Batatas","sal","folha de louro","manjeric�o","tomates frescos"]
7044;Dilly Bread;["Bolo de levedura","de queijo cottage","açúcar","cebola","endro","sal","refrigerante","manteiga"]
7045;Peanut Butter Krispies;["Margarina","açúcar","xarope de milho leve","manteiga de amendoim","arroz krispies"]
7046;Bread Pudding;["pão","ovos","leite","açúcar","baunilha","noz-moscado"]
7047;Seven Bean Salad;["Feij�es amarelos","feij�es verdes","feij�es quentes","Baby lima feij�es","feijão","grande feijão do norte","cranberry","açúcar mascavo","pasta de tomate","sopa de tomate","pimenta verde","cebola","salsicha quente"]
7048;Crunchy Hot Chicken Salad;["frango","aipo","cebola","amêndoas","creme de sopa de galinha","arroz","suco de limão","sal","mayonnaise","ovos","","batatas fritas","cheddar queijo"]
7049;Barbecue Pork And Beef;["ensopado de carne","cubos de porco","cebola","pimentas verdes","pasta de tomate","açúcar mascavo","cidra vinagre","sal","mostarda seca","worcestershire"]
7050;Green Bean Casserole;["feijão verde","Sopa de queijo cheddar","Leite","queijo velveeta","an�is de cebola"]
7051;Easy Cheesy Potatoes;["Pepper","batatas","leite"]
7052;Apple Butter;["AppleSauce","açúcar branco","açúcar mascavo  canela","noz-moscada","pleaspice","clove"]
7053;Bavarois Jello Mold;["cereja preta","água fervente","Cream Cheese","Bing cerejas","cerejas"]
7054;Grits Casserole;["gr�os","queijo ralado","garlic sal","manteiga","ovos","leite"]
7055;Sweet-Sour Dip For Vegetables;["açúcar","óleo","mostarda","maionese","alho em p�"]
7056;Scalloped Wild Onions;["Cebola selvagem","água fervente","farinha","margarina","creme de sopa de cogumelos","vinho branco","queijo cheddar","pinto","endive encaracolado","arroz","girassol","cebolinha","alho","pimenta preta","sal","vinagre de vinho vermelho herb-vermelho"]
7057;Creamy Italian Pasta Salad;["Mayonnaise","alho do cravo","vinagre de vinho tinto","manjas frescas","sal","pimenta preta recentemente � terra","macarrão espiral","Tomates de cereja Quarted","oliveiras"]
7058;Irish Soda Bread;["Farinha","manteiga","Raisins","ovos","açúcar","buttermilk","fermento","bicarbonato de sódio"]
7059;Layered Pea Salad;["Alface de cabe�a","Cebola verde","Aipo","Pimenta verde","castanhas de água","ervilhas congeladas","mayonnaise","açúcar","ovos","bacon","cheddar queijo"]
7060;Hot Apple Spiced Tea;["suco de ma��","Bolsas de ch� de ervas de especiarias laranja","canela varas","cravo inteiro","zest laranja"]
7061;Mexican Blintzes;["Queijo","Chilies verdes","tortillas de farinha","óleo de salada","salsa"]
7062;Puppy Chow(For People� Not Puppies!);["Margarina","Chocolate Chips","Manteiga de amendoim","açúcar"]
7063;Connie'S Twinkie Surprise;["Twinkies","Chocolate Chips","Mint Chocolate Chips","água","açúcar","ovos","creme de chicote"]
7064;Oat Bran Pie Crust;["Torta de trigo integral","farelo","c�rtamo","s�dia de limão-lime"]
7065;Broccoli Casserole;["brócolis","ovos","Queijo","mayonnaise","creme de sopa de cogumelos","borboletas manteiga de ritz"]
7066;Chicken Chow Mein;["frango","creme de sopa de cogumelos","molho de soja","talos de aipo","Mein macarrão","cebola"]
7067;Dad'S Potato Soup;["presunto de peru","batatas","cebola","pimenta verde","pimento","manteiga","leite"]
7068;No-Bake Cheesecake;["Graham Cracker Torta Crust","Cream Cheese","açúcar","Sour Cream","Vanilla","Morangos"]
7069;Freezer Punch;["açúcar","Bananas","Concentrado de limonada congelada","Morangos congelados","água","suco de laranja","suco de abacaxi"]
7070;My Mother'S Coffee Cake;["Farinha","açúcar","fermento","leite doce","ovo","manteiga"]
7071;Porcupine Sausage Loaf;["sajado de porco","arroz","Apple","Aipo","cebola","salsa","migalhas de pão","molho de pimentão","mostarda seca","sal"]
7072;Italian Love Cake;["Mix de bolo de chocolate","queijo de ricota","pudim de chocolate","ovos","açúcar","baunilha","leite"]
7073;Cream-Filled Oatmeal Cookies;["encurtamento","açúcar mascavo","Sugar","extrato de baunilha","ovos","farinha","cozinhar aveia","coco","sal","refrigerante"]
7074;Bacon Pinwheel Appetizers;["Bisquick","bacon magra"]
7075;Lentil Soup;["carne moída","lentilhas","cenouras","cebola","cebolas","repolho","pimenta verde","folha de louro","molho de tomate"]
7076;Surprise Cheese Puffs;["All-Propósito","Queijo Cheddar","Margarina","paprika","sal","azeitonas"]
7077;Pepper Steak;["azeite","molho de soja","Gengibre � terra","cornstarca","pimenta verde","pimenta vermelha","haste","água","alho","alho","salsa"]
7078;Fresh Strawberry Pie;["Graham Cracker Torta Shell","Morangos frescos","água","açúcar","cornstarca","jello de morango"]
7079;Cranberry Salad;["jello","cranberries","abacaxi","laranja","nozes","açúcar"]
7080;Rhubarb Pie;["ovos","açúcar","ruibarbo","migalhas de biscoitos salin�nicos","passas","manteiga","sal"]
7081;Round Table Salad;["molho de cranberry","abacaxi  bananas","iogurte","açúcar","nozes"]
7082;Chocolate Amaretto Truffles;["Chips de chocolate ao leite","creme azedo","sabor de amêndoa","amêndoas"]
7083;Marinated Pea Salad;["ervilhas","lesueur sapato peg milho","pimentas","pimenta verde","vinagre","açúcar","salada"]
7084;Caramel Corn;["milho","açúcar mascavo","manteiga","xarope de milho","sal","soda","baunilha"]
7085;Curried Tomato Soup;["manteiga","cebola","curry p�","tomates italianos","caldo de frango","folha de louro","creme azedo"]
7086;Buttermilk Pralines;["buttermilk","açúcar branco","soda","nozes"]
7087;Delicious Sugar Apple Pie;["suco de ma�� concentrado","margarina","cornstarca","canela","noz-moscada","maçãs deliciosas","pastelaria"]
7088;Sweet Potato Casserole;["Batatas doces","manteiga","canela","torta de abóbora","sal","açúcar mascavo"]
7089;Bonbons;["Queijo creme","Margarina","ovo","baunilha","bolo","açúcar de confeiteiro"]
7090;Cola Salad;["cereja sem açúcar","abacaxi","cerejas"]
7091;Hot Chocolate Mix;["açúcar","caf�","leite em p�"]
7092;Quick Vegetable Soup;["carne moída","tomates","veg-tudo","milho","feijão verde","cebolas","batatas"]
7093;Easy Stuffed Mushrooms;["cogumelos frescos","bacon","alho","cream cheese","cebola"]
7094;Creamed Corn;["milho","chicotando creme","Leite  sal","sotaque","açúcar","pimenta branca","manteiga","flour"]
7095;Laura Ingalls Wilder Gingerbread;["manteiga","açúcar mascavo","melaço","água fervente","bicarbonato de sódio","farinha","gengibre  canela  cravo","ovos"]
7096;Scalloped Corn;["milho de estilo creme","leite","ovo","migalhas de cracker","pimento","cebola","migalhas de cracker com manteiga"]
7097;Easy Salad;["Abacaxi","Cherry","Leite"]
7098;Hot Cheese Balls;["Queijo Cheddar","Farinha","cebola","margarina","paprika"]
7099;Corn Pudding;["milho de estilo creme","sal","açúcar","manteiga","ovos","leite"]
7100;Mexican Corn;["Milho","manteiga","Cream Cheese","Chilies Verdes"]
7101;Taco Dip With Tortilla Chips;["Abocados","suco de limão","sal","creme azedo","Mayo","mistura de tempero taco","mergulho de feijão","cebolinha","tomates","azeitonas pretas","queijo"]
7102;Baked Pork Chops 'N' Corn;["Costeletas de porco","flocos de milho","milho congelado","sopa de tomate","manteiga"]
7103;Barbecued Sliced Beef;["cebola","Catsup","mostarda","cravo","molho de worcestershire","p�es","margarina","açúcar mascavo","sal","pimenta","suco de limão"]
7104;Blueberry Pie;["Blueberries","Alguma crosta","Sompin"]
7105;Macaroni Cheez;["cotovelo macaroni","leite"]
7106;The New Beef Stew;["magra carne guisado de carne","gr�nulos de bouillon de carne instant�nea","Tomilho","oregano","folha de louro","Cenouras","Pastates","ervilhas congeladas","salsa fresca","farinha","água fria"]
7107;Peanut Butter Chocolate Squares;["Bolo amarelo","ovos","manteiga","manteiga de amendoim  manteiga","chips de chocolate","leite","manteiga"]
7108;Squash Croquettes;["Amarelo squash","cebola","pimenta verde","ovo","sal","pimenta preta","farinha"]
7109;Veggie Pizza;["Crescent rolls","ovo","cream cheese","mayonnaise","curativo","queijo cheddar","brócolis"]
7110;Ozark Pudding;["Ovo","Farinha","fermento em pó","maçãs","nozes","açúcar","sal","baunilha"]
7111;Crab Supreme(Make One Day Ahead);["pão","Caranguejo","cebola","mayonnaise","aipo","pimenta verde","sotaque","sal","ovos","creme","leite frio","leite frio","paprika","queijo ralado"]
7112;Non-Alcoholic Wedding Punch;["suco de laranja","suco de ma��","suco de abacaxi","garrafas u�sque ca�a mistura","club soda","grenadine"]
7113;Diet Ocean Perch;["Cebola","Filetes de peixe","maionese","worcestershire","suco de limão","queijo parmesão","salsa"]
7114;Cherry Nut Salad;["cerejas vermelhas","Abacaxi","nozes","corante vermelho colora��o","leite condensado","suco de limão"]
7115;Crinkle Cookies;["bolo misture","ovo"]
7116;Hidden Valley Potatoes;["batatas","margarina","curativo italiano"]
7117;Orange Slice Cake;["manteiga","açúcar","ovos","Soda","Buttermilk","Farinha","Datas","fatias laranja","coco flocado","porcas"]
7118;Chicken Dish;["manteiga","cebola","creme de sopa de cogumelos","leite","queijo velveeta","arroz","frango","congelado"]
7119;Low Calorie Pecan Pie;["Pinto feij�es","ovos","açúcar","Cereal de pepita crocante","Margarina","extrato de baunilha","vinagre","Substituto de açúcar mascavo"]
7120;Mandarin Orange Salad;["Outros verdes","abacate","Mandarin laranjas","amêndoas","cebola verde"]
7121;Jiffy Cobbler;["Margarina","Farinha","açúcar","Faring em p�","sal","Leite","Torta de frutas enchimento","canela","noz-moscada"]
7122;O'Henry Bars;["aveia","manteiga","açúcar mascavo"]
7123;Green Tomato Relish;["Tomates verdes","pimentas vermelhas","cebolas","sal","vinagre branco","açúcar granulado","aipo","canela","toda a pimenta da pimenta inteira","cravo inteira"]
7124;Pumpkin Or Squash Pie;["ovos","açúcar","sal","gengibre  canela","noz-moscada","manteiga","abóbora","leite"]
7125;Crab Cracker Spread;["Cream Cheese","Creme de sopa de galinha","Cebolas verdes","gelatina","Crabmeat","Aipo","mayonnaise"]
7126;Queen'S Pralines;["Cozinha","açúcar","Leite","Soda","Margarina","baunilha","pecans"]
7127;Broccoli Salad;["brócolis","Bacon","Red Cebola","Raisins","Colby Queijo","mayonnaise","açúcar","vinagre"]
7128;White Chili;["água","pimenta limão","cominho","frango","azeite","alho","cebolas","milho branco congelado","pimentas verdes","suco de lima","latas grandes feij�es do norte"]
7129;Taco Bake;["Tortilhas de farinha","Chuck","Feij�es","molho de tomate","queijo cheddar","taco tempero","leite","ovos","bisquick"]
7130;Cajun Fettucine;["Crawfish","Crabmeat","cebola","Aipo","alho","Queijo de alho","Fettucine","farinha","cogumelos","pimientos","manteiga"]
7131;Fresh Fruit Salad(Low-Fat - Special Diet);[","","iogurte","suco de laranja","abacaxi","laranja","uvas vermelhas","uvas verdes","Apple","banana"]
7132;Lasagna Rice;["arroz","queijo cottage","sal","flocos de salsa","molho de espaguete","pimenta","hamburgo","queijo de mozzarella","parmesão queijo"]
7133;Cinnamon Caramel Toast;["Brown","canela","pão","manteiga"]
7134;Alabama Chicken("You Are Good To Go");["fritadeira","sal","sal de alho","buttermilk","farinha","óleo de milho"]
7135;Refrigerator Mashed Potatoes(Serves 12);["batatas","cream cheese","sal de cebola","pimenta","creme azedo","sal","manteiga"]
7136;Potato Lefse;["batatas","encurtamento","creme aquecido","sal","açúcar","farinha"]
7137;Play Dough;["Farinha","sal","água","óleo"]
7138;Pudding Delight;["manteiga","farinha","pecans","açúcar","cream cheese"]
7139;Harvey Wallbanger Cake;["Bolo de laranja","Pudim instant�neo de baunilha","óleo","suco de laranja","água","ovos","galiano","vodka","açúcar","Galliano","Galliano","vodka"]
7140;Soda Cracker Pie;["claras de ovo","açúcar","fermento em pó","baunilha","nozes","biscoitos de soda","chicote"]
7141;Avocado Dip;["Abacatos","cebola","alho do cravo","pimentão p�","sal","Mayo","bacon"]
7142;Marinated Salad;["feijão verde","Verde Lima Feij�es","Ervilhas Verdes Doce","Aipo","Pimentos","CRISCO óleo","vinagre branco","açúcar","paprika"]
7143;Biscotti(Italian Cookies);["manteiga","açúcar","ovos","Anise","farinha","fermento em pó","sal"]
7144;Excellent Beef Casserole;["Farinha","sal","pimenta","bife redondo desossado","óleo de cozimento","água","Caldo de carne","alho","cebola","Tomilho","Rosemary","cogumelos","ervilhas congeladas","batatas","manteiga","paprika"]
7145;Fudgy Brownies;["cacau","baunilha","Margarina","Farinha","ovos","açúcar  nozes"]
7146;Strawberry Brunch Loaf;["Farinha","Faring em p�","Sal","noz-moscada","Morangos","ovos","mel","óleo vegetal","amêndoas"]
7147;Drunken Hot Dogs;["cachorros-quentes","Bourbon","catsup","açúcar mascavo","cebola"]
7148;Oven Caramel Corn;["Milho","açúcar mascavo","oleo","sal","açúcar branco","baunilha"]
7149;Chicken And Chips;["creme azedo","cebola p�","pimenta","peitos de frango","manteiga"]
7150;Nut Cake;["manteiga","açúcar","ovos","Leite","farinha","fermento","porcas"]
7151;Texas Hash;["carne moída","cebolas","pimenta verde","arroz","sal","pimenta"]
7152;Cheese Ball;["Queijo creme","presunto","cebola verde","bacon bits"]
7153;Sinfully Rich Brownie;["chocolate sem açúcar","manteiga","ovos","açúcar","baunilha","sal","farinha"]
7154;Mom'S Cinnamon Rolls;["Levedeira seca ativa","água morna","farinha","leite quente","encurtamento","açúcar","ovos","sal","manteiga","canela"]
7155;German Potato Salad;["batatas","bacon","cebola","farinha","vinagre","açúcar","água quente","sal","pimenta"]
7156;Onion Rings;["Farinha","sal","Leite","óleo de salada","ovo","água","cebola"]
7157;Old Fashioned Fruit Cake;["Lard","água","Ginger","melaço","ovo","farinha","açúcar","refrigerante","fermento"]
7158;Lasagna;["Hamburguer","alho de cravo","Parsley flocos","Basil","tomates","pasta de tomate","queijo cottage","ovos","pimenta","queijo parmesão","flocos de parmesão","mussarella queijo","macarrão lasagna"]
7159;Overnite Coffee Cake;["jantar rola","açúcar branco","canela","pecans","butterchot pudding","manteiga"]
7160;Mawdee'S Shrimp� Crab� Corn Soup;["cebola","pimentão","Aipo","molho de tomate","milho","caranguejo","camar�o","creme de sopa de cogumelos","água"]
7161;Mayonnaise Bread;["Farinha","maionese","açúcar","leite"]
7162;Mustard-Cabbage Relish;["repolho","cebolas","piment�es vermelhos","branco heinz vinagre","mostarda","aipo","açúcar","especiarias"]
7163;Dump Cake;["Bolo","Pecans","Coconut","Abacaxi","açúcar mascavo","margarina"]
7164;Cheesy Taco Casserole;["cotovelo macarrão","carne magra moeda","mistura de tempero taco","molho de tomate","chili beans","leite","queijo desfiado","alface tritada","tomate"]
7165;Green Bean Casserole Deluxe;["feijão verde","creme condensado","Leite","An�is de cebola","Bacon","Pepper"]
7166;French Bread;["Levedeira seca ativa","açúcar","água","sal","total","corneema"]
7167;Bonnie'S Gourmet Potatoes;["batatas","Queijo longhorn","cebolinhas verdes","creme azedo","manteiga","sal","pimenta"]
7168;Comfort Potatoes;["batatas","manteiga","cheddar queijo","creme azedo","cebola","sal","pimenta"]
7169;Easy Party Punch;["cereja","framboesa","açúcar","água","suco de abacaxi","framboesa sherbet","gengibre ale"]
7170;Cheryl'S Overnight Salad;["cabe�a alface","Couve-flor","cebola vermelha","mayonnaise","bacon","queijo parmesão","açúcar"]
7171;Flaky Pie Crust;["Farinha","sal","encurtamento","água fria","vinagre","ovo"]
7172;Porcupine Meatballs;["Hamburger","migalhas de pão","ovo","leite","cebola","pimentão p�","sal","arroz","suco de tomate","açúcar"]
7173;Colorado Meat Loaf Surprise;["carne moída","migalhas de pão","cebola","ketchup","sal","pimenta","batatas","cebolas verdes","parsley","ovo"]
7174;Rocks;["Farinha","manteiga","açúcar  pecans  canela","cravo","noz-moscada","baunilha","ovos","bicarbonato de sódio","água"]
7175;Seafood Salad;["caranguejo","mayonnaise","stalks aipo","cebola"]
7176;Grandma'S Potato Pancakes;["batatas","sal","farinha","ovos","leite","cebola","óleo"]
7177;Cheese Cake;["Crackers de Graham","açúcar","Margarina"]
7178;Oven-Fried Sesame Chicken(Diabetic Recipe);["Semente de gergelim","farinha","pimenta","margarina","frango","molho de soja"]
7179;Banana Dump Cake;["oleo","açúcar","ovos","bananas","leite azedo","farinha","refrigerante","fermento"]
7180;Old English Cookies;["encurtamento","açúcar mascavo","ovos","água fria","farinha","soda","p� de cozimento","canela","cravo"]
7181;German-Style Sauerkraut Kugel;["cabe�a repolho","óleo","pão branco","farinha","casca cristalizada","amêndoas","sal","canela","limão","ovos","passas"]
7182;Pancake Batter For Tacos;["fornema","sal","farinha","água","ovo"]
7183;Bachelor'S Dish;["Hamburger","sal","pimenta preta","pimentão","cebola","molho de tomate","catsup","queijo ralado","biscuits flaky"]
7184;Fake Crabmeat Dip;["imita��o de caranguejo","Cream cheese","cebola","sal de alho","ketchup"]
7185;Fatless Potato Salad;["nonfat iogurte simples","batata","mostarda","talos de aipo","pimenta vermelha / verde","cebola","sal","pimenta","vinagre","paprika"]
7186;Mocha Drink;["Leite","xarope de chocolate","caf� instant�neo","chantilly"]
7187;Cold Italian Salad;["Spaghetti","Radishes","Pepinos","Vestir italiano","salada Tempero","cebolas verdes","pimentas verdes","metades de tomate"]
7188;Apple Kugel;["Deliciosos maçãs","Matzo refei��o","ovos","açúcar","limão","sal"]
7189;Sweet Potato Pie(Makes 2);["ovos","pur� doce batata","baunilha","leite condensado","açúcar","manteiga","canela"]
7190;Turtle Cake;["Baunilha caramelos","Margarina","Leite","bolo de chocolate","pecans","Chips Chocolate"]
7191;7-Up Salad;["limão jello","água fervente","água fria","bananas","abacaxi","marshmallows","suco de abacaxi","açúcar","farinha","manteiga"]
7192;Brown Sugar Buttermilk Cake;["refrigerante","buttermilk","açúcar mascavo","manteiga","ovos","aromatismo de bordo","farinha de campo"]
7193;Navaho Fry Bread;["óleo","farinha","fermento","sal","açúcar","leite muito quente"]
7194;Green Beans With Bacon;["feijão verde","bacon","cebolas","açúcar","vinagre","sal","pimenta"]
